SimTime;SentPk;RcvdPk;LostPk;PacketLoss
163;42;40;2;4.7619
164;43;41;2;4.65116
173;44;43;1;2.27273
174;45;42;3;6.66667
175;45;39;6;13.3333
176;45;39;6;13.3333
177;45;40;5;11.1111
178;45;40;5;11.1111
179;45;42;3;6.66667
180;45;42;3;6.66667
181;46;42;4;8.69565
182;45;45;0;0
183;43;40;3;6.97674
184;42;39;3;7.14286
185;1;2;-1;-100
186;40;38;2;5
187;40;38;2;5
188;38;36;2;5.26316
189;37;35;2;5.40541
190;37;33;4;10.8108
191;36;32;4;11.1111
192;36;33;3;8.33333
193;35;34;1;2.85714
194;35;31;4;11.4286
195;35;30;5;14.2857
196;33;28;5;15.1515
197;35;30;5;14.2857
198;37;31;6;16.2162
199;36;29;7;19.4444
200;34;27;7;20.5882
201;35;33;2;5.71429
202;34;34;0;0
203;33;33;0;0
204;34;33;1;2.94118
205;34;31;3;8.82353
206;35;32;3;8.57143
207;34;32;2;5.88235
208;33;31;2;6.06061
209;35;31;4;11.4286
210;35;35;0;0
211;32;30;2;6.25
212;34;31;3;8.82353
213;34;29;5;14.7059
214;35;34;1;2.85714
215;36;33;3;8.33333
216;36;35;1;2.77778
217;37;34;3;8.10811
218;39;34;5;12.8205
219;39;34;5;12.8205
220;41;39;2;4.87805
221;41;36;5;12.1951
222;40;35;5;12.5
223;40;38;2;5
224;40;34;6;15
225;40;37;3;7.5
226;40;37;3;7.5
227;40;39;1;2.5
229;39;41;-2;-5.12821
236;44;38;6;13.6364
237;44;37;7;15.9091
238;43;37;6;13.9535
239;43;41;2;4.65116
240;43;33;10;23.2558
241;44;42;2;4.54545
242;42;36;6;14.2857
243;43;39;4;9.30233
244;41;42;-1;-2.43902
250;41;43;-2;-4.87805
251;41;39;2;4.87805
252;41;38;3;7.31707
253;41;38;3;7.31707
254;40;41;-1;-2.5
255;42;37;5;11.9048
256;42;38;4;9.52381
257;41;37;4;9.7561
258;40;39;1;2.5
268;47;40;7;14.8936
269;45;41;4;8.88889
270;45;42;3;6.66667
271;47;37;10;21.2766
272;45;37;8;17.7778
273;45;46;-1;-2.22222
281;46;42;4;8.69565
282;46;44;2;4.34783
283;46;40;6;13.0435
284;46;41;5;10.8696
285;44;40;4;9.09091
286;45;41;4;8.88889
287;46;41;5;10.8696
288;46;42;4;8.69565
289;48;43;5;10.4167
